Pick,Round,Player,School,Position,Team,ReachValue,Points,State,PickTraded
237,7,Adrian Killins Jr.,UCF,RBC,Tennessee (Trade),+4,15,Florida,True
238,7,DeeJay Dallas,Miami (FL),RB,NY Giants (Trade),+1,15,Florida,True
239,7,Oluwole Betiku,Illinois,EDGE,Buffalo,+15,5,Illinois,False
240,7,Quez Watkins,Southern Miss,WR,Houston,-2,5,Mississippi,False
241,7,Benning Potoa'e,Washington,DL3T,Tampa Bay (Trade),+0,15,Washington,True
242,7,Kristian Wilkerson,Southeast Missouri State,WR,Green Bay (Trade),-109,15,Missouri,True
243,7,James Morgan,Florida International,QB,Tennessee,+5,5,Florida,False
244,7,Garrett Marino,UAB,DL3T,Cleveland (Trade),-39,15,Alabama,True
245,7,Charlie Taumoepeau,Oregon State,TE,San Francisco,-70,5,Oregon,False
246,7,Jacob Breeland,Oregon,TE,Miami (Trade),+0,15,Oregon,True
247,7,Austin Edwards,Ferris State,DL5T,NY Giants (Comp),-1,5,Michigan,False
248,7,LaDarius Hamilton,North Texas,EDGE,Houston (Comp),+5,5,Texas,False
249,7,Kevin Dotson,Louisiana-Lafayette,OG,Minnesota (Comp),-51,5,Louisiana,False
250,7,Darrion Daniels,Nebraska,DL1T,Houston (Comp),-11,5,Nebraska,False
251,7,Jashon Cornell,Ohio State,DL5T,Miami (Comp),+0,5,Ohio,False
252,7,Reggie Corbin,Illinois,RB,Denver (Comp),+13,5,Illinois,False
253,7,Chris Williamson,Minnesota,CB,Minnesota (Comp),-12,5,Minnesota,False
254,7,Jeremiah Dinson,Auburn,S,Denver (Comp),-2,5,Alabama,False
255,7,Jace Whittaker,Arizona,CB,NY Giants (Comp),+5,5,Arizona,False
